Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Random Forest_Pred
0.0,4409.176809848873,6612.947809492123,6410.14530893687,8083.419378414558,46.75945238095238
1.0,4437.661603886793,6629.994141282841,6427.430674278616,8087.342721686276,50.15245238095238
2.0,4466.225362226986,6647.114678501563,6444.790899494263,8091.321231706132,63.922952380952395
3.0,4494.868303770848,6664.309731630197,6462.22629629084,8095.355524638062,77.07495238095237
4.0,4523.590648026596,6681.579612338173,6479.737177562171,8099.446221232974,105.2665
5.0,4552.39261511096,6698.9246334859945,6497.323857392394,8103.593946834207,127.47157142857142
6.0,4581.27442575087,6716.345109128764,6514.986651059484,8107.799331382657,148.69126190476192
7.0,4610.236301285145,6733.84135451974,6532.725875038761,8112.063009421553,165.46376190476192
8.0,4639.278463666188,6751.413686113856,6550.541847006425,8116.385620100876,182.05145238095244
9.0,4668.40113546169,6769.062421571289,6568.434885843071,8120.767807181437,203.67070238095243
10.0,4697.604539856336,6786.787879760973,6586.405311637209,8125.210219038595,223.53163095238105
11.0,4726.888900653511,6804.590380764168,6604.453445688796,8129.713508665618,237.88929761904762
12.0,4756.254442277018,6822.470245877983,6622.57961051275,8134.278333676686,250.0154642857143
13.0,4785.701389772802,6840.427797618932,6640.7841298424755,8138.905356309527,271.86192857142845
14.0,4815.229968810664,6858.463359726469,6659.067328633388,8143.595243427697,300.34215476190474
15.0,4844.8404056860045,6876.57725716654,6677.429533066434,8148.3486665224855,317.6713214285715
16.0,4874.532927321544,6894.769816135115,6695.871070551624,8153.166301714454,339.84934523809534
17.0,4904.3077612690695,6913.041364061746,6714.392269731539,8158.048829754602,361.786011904762
18.0,4934.16513571118,6931.3922296130895,6732.993460484868,8162.996936025164,375.9076666666667
19.0,4964.105279463031,6949.822742696471,6751.674973929916,8168.011310540022,386.7900000000001
20.0,4994.128421974091,6968.333234463409,6770.437142428136,8173.092647944745,414.12783333333334
21.0,5024.234793329891,6986.924037313166,6789.280299587645,8178.241647516246,434.68
22.0,5054.424624253804,7005.595484896281,6808.20478026674,8183.459013162057,461.3378333333333
23.0,5084.698146108797,7024.347912118119,6827.210920577421,8188.745453419219,485.5493333333333
24.0,5115.055590899216,7043.18165514239,6846.299057888904,8194.101681452787,517.5875952380952
25.0,5145.497191272564,7062.097051394711,6865.46953083114,8199.528415053936,533.376261904762
26.0,5176.023180521267,7081.0944395661145,6884.72267929832,8205.026376637694,555.7900952380953
27.0,5206.633792584481,7100.174159616606,6904.0588444524055,8210.596293240269,584.9365952380954
28.0,5237.3292620498805,7119.336552778673,6923.478368726617,8216.238896515983,615.7879285714287
29.0,5268.109824155449,7138.581961560835,6942.981595828956,8221.95492273381,639.3016666666667
30.0,5298.975714791287,7157.9107297511555,6962.568870745714,8227.745112773522,667.565
31.0,5329.927170501421,7177.323202420782,6982.24053974496,8233.610212121428,704.9466666666667
32.0,5360.964428485614,7196.819725927453,7001.996950380068,8239.55097086571,734.0233333333334
33.0,5392.087726601184,7216.4006479190375,7021.838451493191,8245.568143691366,782.9075
34.0,5423.297303364828,7236.066317337036,7041.765393218773,8251.662489874736,834.9783333333332
35.0,5454.593397954445,7255.8170844201095,7061.778126987039,8257.834773277631,888.9216666666667
36.0,5485.976250210971,7275.653300707582,7081.877005527487,8264.085762341047,920.8006666666668
37.0,5517.44610064023,7295.575319042965,7102.062382872375,8270.416230078474,971.1740000000001
38.0,5549.00319041475,7315.583493577441,7122.334614360207,8276.826954068798,1016.2999999999998
39.0,5580.647761375642,7335.678179773393,7142.6940566392095,8283.31871644878,1076.7816666666668
40.0,5612.380056034423,7355.859734407883,7163.14106767082,8289.892303905133,1137.3223333333333
41.0,5644.200317574904,7376.128515576163,7183.676006733147,8296.548507666175,1179.8123333333333
42.0,5676.108789855035,7396.484882695155,7204.299234424452,8303.288123493076,1244.664
43.0,5708.105717408768,7416.929196506953,7225.0111126666125,8310.111951670677,1307.935
44.0,5740.191345447959,7437.461819082292,7245.8120047085795,8317.020796997906,1370.2433333333333
45.0,5772.365919864217,7458.083113824043,7266.702275129839,8324.015468777758,1413.8633333333335
46.0,5804.629687230804,7478.793445470676,7287.682289843864,8331.096780806869,1488.0216666666665
47.0,5836.982894804524,7499.593180099738,7308.752416101561,8338.265551364659,1545.3547619047617
48.0,5869.425790527616,7520.482685131315,7329.913022494724,8345.522603202062,1598.6047619047617
49.0,5901.958623029647,7541.4623293315,7351.164478959456,8352.868763529823,1665.1345
50.0,5934.581641629432,7562.532482815836,7372.507156779613,8360.304864006386,1695.9331666666667
51.0,5967.2950963369285,7583.693517052784,7393.941428590231,8367.831740725345,1747.8215000000002
52.0,6000.099237855172,7604.945804867147,7415.467668380943,8375.450234202472,1904.6200000000003
53.0,6032.9943175821745,7626.289720443529,7437.086251499402,8383.161189362329,2061.7933333333335
54.0,6065.980587612871,7647.725639329754,7458.797554654691,8390.96545552444,2195.7533333333336
55.0,6099.05830074104,7669.253938440305,7480.601955920718,8398.863886389057,2273.7716666666665
